año,mes,month,fecha,viol_fam_ver,pob_mit_ver,tasa_ver,viol_fam_nac,pob_mit_nac,tasa_nac
2015,enero,A,1/31/2015,236,8241248,2.86,7675,121347800,6.32
2015,febrero,B,2/28/2015,206,8241248,2.5,8175,121347800,6.74
2015,marzo,C,3/31/2015,213,8241248,2.58,9650,121347800,7.95
2015,abril,D,4/30/2015,461,8241248,5.59,10394,121347800,8.57
2015,mayo,E,5/31/2015,438,8241248,5.31,11107,121347800,9.15
2015,junio,F,6/30/2015,307,8241248,3.73,11362,121347800,9.36
2015,julio,G,7/31/2015,148,8241248,1.8,11212,121347800,9.24
2015,agosto,H,8/31/2015,342,8241248,4.15,11868,121347800,9.78
2015,septiembre,I,9/30/2015,297,8241248,3.6,11809,121347800,9.73
2015,octubre,J,10/31/2015,380,8241248,4.61,12071,121347800,9.95
2015,noviembre,K,11/30/2015,305,8241248,3.7,11472,121347800,9.45
2015,diciembre,L,12/31/2015,239,8241248,2.9,10021,121347800,8.26
2016,enero,A,1/31/2016,328,8316599,3.94,9916,122715165,8.08
2016,febrero,B,2/29/2016,338,8316599,4.06,11784,122715165,9.6
2016,marzo,C,3/31/2016,397,8316599,4.77,12516,122715165,10.2
2016,abril,D,4/30/2016,474,8316599,5.7,14111,122715165,11.5
2016,mayo,E,5/31/2016,417,8316599,5.01,15216,122715165,12.4
2016,junio,F,6/30/2016,431,8316599,5.18,14695,122715165,11.97
2016,julio,G,7/31/2016,393,8316599,4.73,13096,122715165,10.67
2016,agosto,H,8/31/2016,473,8316599,5.69,13110,122715165,10.68
2016,septiembre,I,9/30/2016,392,8316599,4.71,13375,122715165,10.9
2016,octubre,J,10/31/2016,381,8316599,4.58,12260,122715165,9.99
2016,noviembre,K,11/30/2016,386,8316599,4.64,11640,122715165,9.49
2016,diciembre,L,12/31/2016,361,8316599,4.34,11862,122715165,9.67
2017,enero,A,1/31/2017,506,8376971,6.04,11885,124041731,9.58
2017,febrero,B,2/28/2017,501,8376971,5.98,12217,124041731,9.85
2017,marzo,C,3/31/2017,593,8376971,7.08,14276,124041731,11.51
2017,abril,D,4/30/2017,577,8376971,6.89,13591,124041731,10.96
2017,mayo,E,5/31/2017,613,8376971,7.32,15770,124041731,12.71
2017,junio,F,6/30/2017,626,8376971,7.47,16032,124041731,12.92
2017,julio,G,7/31/2017,539,8376971,6.43,14322,124041731,11.55
2017,agosto,H,8/31/2017,573,8376971,6.84,15997,124041731,12.9
2017,septiembre,I,9/30/2017,545,8376971,6.51,14767,124041731,11.9
2017,octubre,J,10/31/2017,568,8376971,6.78,15225,124041731,12.27
2017,noviembre,K,11/30/2017,412,8376971,4.92,13761,124041731,11.09
2017,diciembre,L,12/31/2017,273,8376971,3.26,11736,124041731,9.46
2018,enero,A,1/31/2018,505,8434163,5.99,12721,125327797,10.15
2018,febrero,B,2/28/2018,562,8434163,6.66,13452,125327797,10.73
2018,marzo,C,3/31/2018,611,8434163,7.24,16112,125327797,12.86
2018,abril,D,4/30/2018,676,8434163,8.02,16278,125327797,12.99
2018,mayo,E,5/31/2018,678,8434163,8.04,17663,125327797,14.09
2018,junio,F,6/30/2018,648,8434163,7.68,16409,125327797,13.09
2018,julio,G,7/31/2018,515,8434163,6.11,16188,125327797,12.92
2018,agosto,H,8/31/2018,537,8434163,6.37,15630,125327797,12.47
2018,septiembre,I,9/30/2018,608,8434163,7.21,15189,125327797,12.12
2018,octubre,J,10/31/2018,474,8434163,5.62,15354,125327797,12.25
2018,noviembre,K,11/30/2018,248,8434163,2.94,13017,125327797,10.39
2018,diciembre,L,12/31/2018,157,8434163,1.86,12174,125327797,9.71
2019,enero,A,1/31/2019,810,8488447,9.54,13962,126577691,11.03
2019,febrero,B,2/28/2019,813,8488447,9.58,14933,126577691,11.8
2019,marzo,C,3/31/2019,223,8488447,2.63,16397,126577691,12.95
2019,abril,D,4/30/2019,192,8488447,2.26,16933,126577691,13.38
2019,mayo,E,5/31/2019,179,8488447,2.11,19573,126577691,15.46
2019,junio,F,6/30/2019,180,8488447,2.12,18063,126577691,14.27
2019,julio,G,7/31/2019,92,8488447,1.08,18414,126577691,14.55
2019,agosto,H,8/31/2019,216,8488447,2.54,18713,126577691,14.78
2019,septiembre,I,9/30/2019,179,8488447,2.11,17532,126577691,13.85
2019,octubre,J,10/31/2019,329,8488447,3.88,18220,126577691,14.39
2019,noviembre,K,11/30/2019,345,8488447,4.06,15419,126577691,12.18
2019,diciembre,L,12/31/2019,736,8488447,8.67,15969,126577691,12.62
2020,enero,A,1/31/2020,613,8539862,7.18,15851,127792286,12.4
2020,febrero,B,2/29/2020,925,8539862,10.83,17796,127792286,13.92
2020,marzo,C,3/31/2020,942,8539862,11.03,20503,127792286,15.83
,,,,,,,,,
,,,,,,,,,
